username,channel,message
fossabot,#loltyler1,"@KuniGaru, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
xsageone,#jinnytty,exbcSpy
widedomi,#jinnytty,3Head
skysage,#jinnytty,no
przemkowsky_wawa,#jinnytty,HYPERS
savenature47,#jinnytty,imagine if it actually falls LUL
neme5is944,#jinnytty,chalry LOOOL
nanaspenepol,#jinnytty,no step back
jackp85,#jinnytty,i trust it
kidobr,#jinnytty,it cracked monkaW
superpooper,#jinnytty,they add the glass cracking sound on purpose KEKL
jumpingcloud,#jinnytty,monkaW  glassss is cracking
gamergoon53,#jinnytty,DED
mythicarl03,#jinnytty,drop us
alanian123,#loltyler1,u need to go jg
daxter01_,#jinnytty,omg
ibexbruh,#jinnytty,ommaSad
flyyyzer,#jinnytty,Weight limit 50kg…
aveguytx,#jinnytty,50 kg limit
mrelementdj,#jinnytty,WOWERS SHEESH
yunghummer,#jinnytty,ivyheaBlushy
melen1um17,#loltyler1,kindred 2 items
zero__horizon,#jinnytty,yyjPogo jump
jfly308,#loltyler1,Copium winnable Copium
nickcartman,#jinnytty,how can you stand without trembling?
jondoni,#jinnytty,abort pepeMeltdown
allexxx1996,#jinnytty,jump in the glass chrisc163YESIDOTHINKSO
evilhenchman,#jinnytty,those are very cute cars Kappa
elmulo_reventiov,#jinnytty,NOOO careful queen
zeibi_01,#jinnytty,its cracking
aahniky,#jinnytty,berriyaClap botatoKirby berriyaClap botatoKirby
rickylahh,#jinnytty,IT SAYS DONT STEP ON IT
orangeboy25,#jinnytty,yes
howtroublesom3x,#loltyler1,better than the last 9 games
zay_ih,#jinnytty,YUMPIES
yvan_nix,#jinnytty,thats cool :)
nazzor25,#jinnytty,DO A FLIP PagMan  󠀀
hotnfoamy,#jinnytty,GIGACHAD NO
lord_butterly60fps,#jinnytty,KEKW
maikeldruffy,#jinnytty,YUMPIES JUMP YUMPIES JUMP YUMPIES JUMP YUMPIES JUMP
maris192,#jinnytty,no
mob1900,#jinnytty,better than Teng Teng
peepopopcorn,#jinnytty,peepoS 󠀀
naz94x,#jinnytty,HELL NO. sounds like cracking
whatisthiszz,#jinnytty,yes monkaW
auraxed,#jinnytty,Not really from the camera
blightyspike,#jinnytty,that is high
hennygraith,#jinnytty,its cracking monkaW
fatemissclicks,#jinnytty,drop us
xeminence,#jinnytty,I FEEL LIKE IM FALLING ALREADY
russelquality,#jinnytty,monkaW
pogchoptiktok,#jinnytty,glass cracking
kubelet,#jinnytty,IRESPECTWOMEN
dkdkdkdkdkisasav,#loltyler1,what is tyler 1 main role
softlesbiankisses,#jinnytty,"looks amazing, yes"
darkexile1,#jinnytty,nah
existenceofenigmas,#jinnytty,no lolions@evil_intentions.tmi.twitch.tv PRIVMSG #jinnytty :i heard it crack
vincentt23,#jinnytty,monkaW 󠀀
vgvirt,#jinnytty,nope
kiioa,#jinnytty,Binoculous
